typ;name;aadr;eadr;sadr;dir;file;md5;doublette
B;GANYMED;2BC0;41BF;0300;z1013/a_ziermann/games;B.GANYMED.z80;9facbf358562bfe0d46c6d47bc7df308;N
C;VOGELJAGD;2C00;3980;3700;z1013/Sammlung IGD/igd17b MC 6;C.VOGELJAGD.z80;443f64d2b54959689aad951d6f933ab8;N
C;TETRIS.C;0100;0BFF;0B00;z1013/a_ziermann/unsorted2/play;C.TETRIS.C.z80;cbfab456698fbab03fec10eb98d11545;N
C;BASIC;0100;2AFF;0100;z1013/a_ziermann/lang/basic;C.BASIC.z80;dffd51821b839fb1429c32cc1ba24098;N
C;MAINSAVE4.6.4;3C00;3FFF;3FEC;z1013/a_ziermann/nu;C.MAINSAVE 4.6.4.z80;b0b012cc2e34ee7ab80b8361bfa6ca03;N
C;MAINSAVE4.6.4;3C00;3FFF;3FEC;z1013/Sammlung IGD/igd09a MC;C.MAINSAVE 4.6.4.z80;b0b012cc2e34ee7ab80b8361bfa6ca03;J
C;DVM2/89us./soft;E400;EBFF;E400;z1013/Sammlung IGD/igd16b MC 5;C.DVM 2_89us._soft.z80;66c5aee6ebfa095986c35c20cbafb181;N
 ;MWORD.ÃOM;0100;16FF;0022;z1013/Sammlung IGD/igd24b CPM 4;_.MWORD.ÃOM.z80;45cc549692b98f353a2de0a323d04c7b;N
C;MAZOGS;0400;1FFF;0400;z1013/Sammlung IGD/igd07a MC 2;C.MAZOGS.z80;590531c5a6c4b0ea95180ed7d14a8edd;N
C;MAZOGS2.1;0400;1FFF;0400;z1013/Sammlung IGD/igd15a MC 4;C.MAZOGS 2.1.z80;590531c5a6c4b0ea95180ed7d14a8edd;J
C;SUPER-SKI;0100;1200;0100;z1013/a_ziermann/games/oldkeyb;C.SUPER-SKI.z80;52e306cd4b7029655cae96b272b0628b;N
C;KOMPRI-MC;ED76;EFFF;ED76;z1013/Sammlung IGD/igd23a MC 8;C.KOMPRI-MC.z80;ca93cdbf69fa6cad69bb115756cb8c1a;N
I;BES.BAENDERDATEI;3000;56BB;0000;z1013/Sammlung IGD/igd20a Text;I.BES.BAENDERDATEI.z80;7b04460d000523238b77e111c8b9f337;N
C;HEADER-Tiny0.5;0100;0BAF;0100;z1013/Sammlung IGD/igd09b MC;C.HEADER-Tiny 0.5.z80;4e840afa0c8b46ab706827de12741ed6;N
C;SPRACHE.COM;0200;0560;050D;z1013/a_ziermann/unsorted2/Lost&found;C.SPRACHE.COM.z80;435230448adc491cf5e8c60807c70756;N
B;GRAFIK.B;2BC0;2DC7;0000;z1013/a_ziermann/unsorted2/unsorted/lachetta;B.GRAFIK.B.z80;81ae9d1839ce8c79044c856177d198c4;N
B;LEIPZIG;2BC0;5AB6;0000;z1013/a_ziermann/games;B.LEIPZIG.z80;97c607bc80fe43ce5462ebad8d296722;N
b;HOROSKOP1;1000;3C32;0000;z1013/Sammlung IGD/igd03a TINY 1;b.HOROSKOP 1.z80;278af38d865d241cad0bb5f8e615fe60;N
C;IC-DATEI.PRG;0100;2FC0;2FB0;z1013/a_ziermann/unsorted2/unsorted/lachetta;C.IC-DATEI.PRG.z80;44a0de3b4aec00e7ee95c087a56f648f;N
C;GRAVEROBBER;0100;281F;2810;z1013/Sammlung IGD/igd01b Games;C.GRAVEROBBER.z80;7917d19fe82bd3fb65adcf45734f17d0;N
C;LASTCHANCEIII;0100;1B00;0106;z1013/a_ziermann/games;C.LAST CHANCE III.z80;e963f5d5fd388585591265b41d0496ec;N
C;CLIMBER;0100;3FFF;0103;z1013/Sammlung IGD/igd04a TINY 2;C.CLIMBER.z80;e549b2b860d41f890b490ce046d2cfad;N
C;AC1-TapeV.7;0100;05AF;0100;z1013/a_ziermann/nu;C.AC 1-Tape V.7.z80;15e2d16e919a7e43c237a138d4e582f7;N
